,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
27,Elwood,9/2 Alfriston St,1,u,369000,S,hockingstuart,18/03/2017,7.7,3184,1,1,1.0,1547.0,34.79723765432098,1970.0,Port Phillip,-37.8749,144.9903,Southern Metropolitan,8989
28,Elwood,3/211 Brighton Rd,1,u,390000,VB,hockingstuart,25/02/2017,7.7,3184,1,1,1.0,644.0,47.0,1960.0,Port Phillip,-37.8798,144.994,Southern Metropolitan,8989
29,Essendon North,2/10 Oshannassy St,2,u,393000,S,Brad,6/08/2016,9.4,3041,2,1,1.0,999.0,34.79723765432098,1970.0,Moonee Valley,-37.7396,144.90200000000002,Western Metropolitan,1308
30,Flemington,15/17 Ascot Vale Rd,1,u,380000,SP,Biggin,4/03/2017,4.4,3031,1,1,1.0,2077.0,34.79723765432098,,Moonee Valley,-37.7852,144.9216,Northern Metropolitan,3593
31,Flemington,8/300 Racecourse Rd,1,u,395000,SP,Nelson,25/02/2017,4.4,3031,1,1,1.0,818.0,50.0,1880.0,Moonee Valley,-37.788000000000004,144.9306,Northern Metropolitan,3593
32,Footscray,1/30 Pickett St,2,u,305000,PI,Burnham,4/03/2017,6.4,3011,2,1,1.0,47.0,35.0,2013.0,Maribyrnong,-37.8014,144.8959,Western Metropolitan,7570
33,Footscray,6/114 Commercial Rd,1,u,291000,PI,Sweeney,7/05/2016,6.4,3011,1,1,1.0,665.0,46.0,1970.0,Maribyrnong,-37.7978,144.8918,Western Metropolitan,7570
34,Footscray,8/33 Gordon St,1,u,305000,S,Burnham,17/09/2016,6.4,3011,1,1,1.0,59.0,70.0,1965.0,Maribyrnong,-37.7903,144.8899,Western Metropolitan,7570
35,Footscray,4/11 Nicholson St,1,u,282000,PI,Sweeney,24/09/2016,6.4,3011,1,1,1.0,1783.0,42.0,1975.0,Maribyrnong,-37.7949,144.9007,Western Metropolitan,7570
36,Footscray,12/14 Eldridge St,2,u,315000,PI,C21,25/02/2017,6.4,3011,2,1,1.0,882.0,74.0,1970.0,Maribyrnong,-37.7899,144.893,Western Metropolitan,7570
37,Glen Iris,1/6 Edgar St,1,u,291000,PI,hockingstuart,12/11/2016,9.2,3146,1,1,1.0,1097.0,38.0,1982.0,Stonnington,-37.8576,145.0452,Southern Metropolitan,10412
38,Glen Iris,11/63 Edgar St N,1,t,345000,PI,Jellis,14/05/2016,9.2,3146,1,1,1.0,745.0,44.0,1970.0,Stonnington,-37.8505,145.0459,Southern Metropolitan,10412
39,Glen Iris,1/38 Edgar St,2,u,382000,SP,hockingstuart,16/07/2016,9.2,3146,2,1,1.0,1069.0,33.0,1960.0,Stonnington,-37.8547,145.0457,Southern Metropolitan,10412
40,Glen Iris,14/1737 Malvern Rd,1,u,375000,PI,Noel,25/02/2017,9.2,3146,1,1,1.0,602.0,34.79723765432098,,Stonnington,-37.8597,145.0571,Southern Metropolitan,10412
41,Glenroy,1/919 Pascoe Vale Rd,3,t,370000,PI,Walshe,8/10/2016,13.0,3046,3,2,1.0,259.0,34.79723765432098,2003.0,Moreland,-37.6977,144.9149,Northern Metropolitan,8870
42,Glenroy,6/2 Murrell St,2,u,320500,S,Nelson,17/09/2016,13.0,3046,2,1,1.0,3056.0,34.79723765432098,,Moreland,-37.7042,144.9214,Northern Metropolitan,8870
43,Glenroy,14/854 Pascoe Vale Rd,2,u,230000,PI,Raine,18/03/2017,13.0,3046,2,1,1.0,1996.0,34.79723765432098,,Moreland,-37.702,144.9154,Northern Metropolitan,8870
44,Glenroy,2/4 Ash Ct,2,h,270000,PI,Ray,30/07/2016,13.0,3046,2,1,1.0,155.0,155.0,2000.0,Moreland,-37.6972,144.9239,Northern Metropolitan,8870
45,Gowanbrae,24 Balerno Cir,3,h,390000,PI,Nelson,23/04/2016,13.6,3043,3,2,1.0,158.0,136.0,2005.0,Moreland,-37.7091,144.8958,Western Metropolitan,1071
46,Hadfield,100 South St,2,h,330000,VB,Stockdale,22/05/2016,12.1,3046,2,1,1.0,249.0,2.0,1970.0,Moreland,-37.714,144.939,Northern Metropolitan,2606
47,Hawthorn,16/557 Glenferrie Rd,1,u,335000,VB,Jellis,10/09/2016,4.6,3122,1,1,1.0,3132.0,34.79723765432098,,Boroondara,-37.8276,145.0342,Southern Metropolitan,11308
48,Hawthorn,13/506 Glenferrie Rd,1,u,290000,S,Biggin,22/05/2016,4.6,3122,1,1,1.0,1568.0,34.79723765432098,,Boroondara,-37.8308,145.034,Southern Metropolitan,11308
49,Heidelberg Heights,2/601 Upper Heidelberg Rd,2,u,400000,PI,hockingstuart,26/07/2016,10.5,3081,2,1,1.0,127.0,83.0,1970.0,Banyule,-37.747,145.0575,Eastern Metropolitan,2947
50,Heidelberg West,62 Ramu Pde,3,h,330000,S,Barry,4/06/2016,9.4,3081,3,1,1.0,468.0,34.79723765432098,,Banyule,-37.7357,145.0413,Eastern Metropolitan,2674
51,Heidelberg West,2/287 Liberty Pde,2,t,370000,VB,Miles,7/05/2016,9.4,3081,2,1,1.0,100.0,90.0,2013.0,Banyule,-37.7383,145.036,Eastern Metropolitan,2674
52,Heidelberg West,15/459 Waterdale Rd,2,u,360000,SP,Miles,16/04/2016,9.4,3081,2,1,1.0,89.0,85.0,1970.0,Banyule,-37.7444,145.047,Eastern Metropolitan,2674
53,Heidelberg West,37 Alamein Rd,3,h,392000,S,Barry,28/05/2016,9.4,3081,3,1,2.0,372.0,34.79723765432098,,Banyule,-37.7383,145.0414,Eastern Metropolitan,2674
54,Hughesdale,5/7 Warrigal Rd,2,u,400000,PI,Ray,17/09/2016,13.0,3166,2,1,1.0,100.0,88.0,1975.0,Monash,-37.8945,145.0876,Southern Metropolitan,3145
55,Kealba,3 McGrath Cl,3,h,365000,SP,Brad,7/05/2016,15.0,3021,3,1,0.0,543.0,34.79723765432098,,Brimbank,-37.7367,144.82399999999998,Western Metropolitan,1202
56,Kealba,35 Georgia Pl,3,h,320000,VB,Brad,27/06/2016,15.0,3021,3,2,1.0,119.0,34.79723765432098,,Brimbank,-37.7328,144.8194,Western Metropolitan,1202
57,Keilor East,1/36 Phillip Rd,2,h,380000,S,Nelson,14/05/2016,12.8,3033,2,1,1.0,116.0,34.79723765432098,,Moonee Valley,-37.748000000000005,144.8696,Western Metropolitan,5629
58,Kensington,107/88 Altona St,1,u,360000,VB,Dingle,10/12/2016,4.2,3031,1,1,1.0,4267.0,34.79723765432098,,Melbourne,-37.7966,144.9254,Northern Metropolitan,5263
59,Maidstone,8/101 Ballarat Rd,2,u,275000,PI,Burnham,3/12/2016,9.2,3012,2,1,1.0,1972.0,63.0,1960.0,Maribyrnong,-37.7863,144.8769,Western Metropolitan,3873
60,Maribyrnong,8/10 Middle Rd,2,h,399000,S,Raine,7/05/2016,8.7,3032,2,1,1.0,904.0,53.0,1985.0,Maribyrnong,-37.7679,144.8935,Western Metropolitan,4918
61,Maribyrnong,7/3 Ensign St,2,u,330000,SP,Biggin,10/12/2016,8.7,3032,2,1,1.0,950.0,34.79723765432098,,Maribyrnong,-37.7665,144.9004,Western Metropolitan,4918
62,Maribyrnong,104/5 Ordnance Res,2,u,400000,SP,Biggin,12/11/2016,8.7,3032,2,1,2.0,3967.0,87.0,2007.0,Maribyrnong,-37.7706,144.8805,Western Metropolitan,4918
63,Maribyrnong,28 Blair St,2,t,400000,PI,Rendina,24/09/2016,8.7,3032,2,1,2.0,54.0,85.0,2000.0,Maribyrnong,-37.774,144.8797,Western Metropolitan,4918
64,Melbourne,208/108 Flinders St,1,u,375000,PI,LITTLE,15/10/2016,2.8,3000,1,1,0.0,1414.0,47.0,2014.0,Melbourne,-37.8161,144.9712,Northern Metropolitan,17496
65,Melbourne,103/565 Flinders St,2,u,360000,VB,Dingle,28/08/2016,2.8,3000,1,1,1.0,1136.0,69.0,2009.0,Melbourne,-37.8211,144.9559,Northern Metropolitan,17496
66,Melbourne,509/33 MacKenzie St,2,u,390000,PI,Dingle,30/07/2016,2.8,3000,2,1,1.0,1751.0,34.79723765432098,2012.0,Melbourne,-37.8077,144.9668,Northern Metropolitan,17496
67,Moorabbin,6/1015 Nepean Hwy,1,u,380500,S,Ray,3/09/2016,14.6,3189,1,1,1.0,106.0,51.0,1990.0,Kingston,-37.9374,145.0388,Southern Metropolitan,2555
68,North Melbourne,11/368 Dryburgh St,1,u,358000,SP,Jellis,27/11/2016,2.3,3051,1,1,1.0,649.0,43.0,1970.0,Melbourne,-37.7971,144.9448,Northern Metropolitan,6821
69,Parkville,47/202 The Avenue,1,u,395000,SP,Woodards,11/02/2017,2.6,3052,1,1,1.0,2469.0,34.79723765432098,,Melbourne,-37.7827,144.9575,Northern Metropolitan,2309
70,Pascoe Vale,9/12 Pascoe St,2,h,386000,S,D'Aprano,7/05/2016,9.9,3044,2,1,1.0,111.0,67.0,1987.0,Moreland,-37.7152,144.9349,Northern Metropolitan,7485
71,Pascoe Vale,4/305 Cumberland Rd,1,u,248500,S,Brad,28/08/2016,9.9,3044,1,1,1.0,49.0,49.0,1970.0,Moreland,-37.7152,144.9402,Northern Metropolitan,7485
72,Pascoe Vale,1/12 Pascoe St,2,u,360000,VB,Barry,30/07/2016,9.9,3044,2,1,1.0,119.0,34.79723765432098,,Moreland,-37.7161,144.9348,Northern Metropolitan,7485
73,Preston,3/413 Gilbert Rd,1,u,305000,S,Nelson,10/12/2016,8.8,3072,1,1,1.0,41.0,34.79723765432098,1955.0,Darebin,-37.7367,144.9899,Northern Metropolitan,14577
74,Reservoir,2/20 Crookston Rd,2,u,352000,SP,Barry,3/12/2016,11.2,3073,2,1,1.0,117.0,62.0,2012.0,Darebin,-37.7101,145.0223,Northern Metropolitan,21650
75,Reservoir,8/211 Edwardes St,2,u,336000,S,Stockdale,3/12/2016,11.2,3073,2,1,1.0,99.0,67.0,1970.0,Darebin,-37.7166,144.9911,Northern Metropolitan,21650
76,Reservoir,197 Albert St,2,h,365000,PI,Barry,7/05/2016,11.2,3073,2,1,1.0,360.0,83.0,1960.0,Darebin,-37.7273,145.0254,Northern Metropolitan,21650
77,Reservoir,1/40 Godley St,1,h,260000,PI,hockingstuart,7/05/2016,11.2,3073,1,1,1.0,141.0,80.0,2000.0,Darebin,-37.7025,144.9887,Northern Metropolitan,21650
78,Reservoir,4/134 McMahon Rd,2,u,357500,S,Ray,7/05/2016,11.2,3073,2,1,1.0,129.0,34.79723765432098,,Darebin,-37.7099,145.0131,Northern Metropolitan,21650
79,Reservoir,4/7 Oconnor St,1,u,341000,PI,Ray,7/11/2016,11.2,3073,1,1,1.0,125.0,34.79723765432098,,Darebin,-37.711,145.0052,Northern Metropolitan,21650
80,Reservoir,66 Elinda Pl,2,h,380000,S,Alexkarbon,8/10/2016,11.2,3073,2,1,1.0,159.0,34.79723765432098,1990.0,Darebin,-37.6998,145.0248,Northern Metropolitan,21650
81,Reservoir,4/60 Henty St,2,u,380000,S,Nelson,8/10/2016,11.2,3073,2,1,1.0,149.0,70.0,1980.0,Darebin,-37.7177,144.9917,Northern Metropolitan,21650
82,Reservoir,2/33 Ashley St,2,t,380000,PI,Barry,12/11/2016,11.2,3073,2,1,1.0,83.0,85.0,2010.0,Darebin,-37.7171,145.0019,Northern Metropolitan,21650
83,Reservoir,3/18 Bedford St,1,u,350000,SP,Harcourts,12/11/2016,11.2,3073,1,1,2.0,96.0,45.0,2009.0,Darebin,-37.7175,145.0081,Northern Metropolitan,21650
84,Reservoir,4/62 St Vigeons Rd,2,u,350000,PI,Barry,12/11/2016,11.2,3073,2,1,1.0,102.0,67.0,1970.0,Darebin,-37.7064,145.0264,Northern Metropolitan,21650
85,Reservoir,2/7 Mattea Ct,2,u,360000,PI,Barry,13/08/2016,11.2,3073,2,1,1.0,139.0,34.79723765432098,,Darebin,-37.7327,145.0347,Northern Metropolitan,21650
86,Reservoir,3/7 Mattea Ct,2,u,380000,PI,Barry,13/08/2016,11.2,3073,2,1,1.0,220.0,34.79723765432098,2011.0,Darebin,-37.7327,145.0347,Northern Metropolitan,21650
87,Reservoir,1/73 Purinuan Rd,3,u,400000,PI,Ray,13/08/2016,11.2,3073,3,1,1.0,172.0,97.0,1970.0,Darebin,-37.7092,145.0274,Northern Metropolitan,21650
88,Reservoir,3/94 Purinuan Rd,2,u,360000,S,Stockdale,14/05/2016,11.2,3073,2,1,1.0,132.0,65.0,2010.0,Darebin,-37.708,145.0223,Northern Metropolitan,21650
89,Reservoir,1/18 Duffy St,2,u,376000,S,Ray,16/04/2016,11.2,3073,2,1,1.0,104.0,77.0,1970.0,Darebin,-37.7104,145.0076,Northern Metropolitan,21650
90,Reservoir,4/7 Pershing St,2,u,390000,VB,Nelson,16/04/2016,11.2,3073,2,1,1.0,122.0,74.0,1980.0,Darebin,-37.7261,144.9961,Northern Metropolitan,21650
91,Reservoir,2/14 Drysdale St,2,u,330000,PI,Ray,16/07/2016,11.2,3073,2,1,1.0,90.0,64.0,1970.0,Darebin,-37.7295,145.0243,Northern Metropolitan,21650
92,Reservoir,6/5 Seaver Gr,2,u,340000,VB,Love,24/09/2016,11.2,3073,2,1,1.0,151.0,80.0,1975.0,Darebin,-37.7126,144.99,Northern Metropolitan,21650
93,Reservoir,2/1 Clark St,1,h,395000,SP,Purplebricks,25/02/2017,11.2,3073,1,1,1.0,94.0,50.0,2014.0,Darebin,-37.7186,145.011,Northern Metropolitan,21650
94,Reservoir,5/25 Ashley St,2,u,300000,S,Love,26/07/2016,11.2,3073,2,1,1.0,87.0,62.0,1970.0,Darebin,-37.7174,145.0016,Northern Metropolitan,21650
95,Reservoir,4/1067 High St,2,u,240000,PI,Stockdale,26/07/2016,11.2,3073,2,1,1.0,82.0,34.79723765432098,1970.0,Darebin,-37.6983,145.0104,Northern Metropolitan,21650
96,Reservoir,2/14 Ludeman Ct,2,u,390000,SP,Love,30/07/2016,11.2,3073,2,1,1.0,133.0,65.0,2012.0,Darebin,-37.6983,144.9998,Northern Metropolitan,21650
97,Richmond,3/11 Brougham St,1,u,370000,S,Biggin,3/12/2016,2.6,3121,1,1,1.0,502.0,38.0,1950.0,Yarra,-37.8214,144.9997,Northern Metropolitan,14949
98,Richmond,406/20 Burnley St,1,u,345000,PI,Ray,8/10/2016,2.6,3121,1,1,1.0,8223.0,45.0,2012.0,Yarra,-37.8127,145.0094,Northern Metropolitan,14949
99,Richmond,4/199 Punt Rd,1,u,360000,S,Biggin,27/11/2016,2.6,3121,1,1,1.0,1332.0,34.79723765432098,,Yarra,-37.8181,144.9901,Northern Metropolitan,14949
100,South Yarra,17/393 Toorak Rd,1,u,400000,S,LITTLE,14/05/2016,3.3,3141,1,1,1.0,1424.0,34.79723765432098,,Stonnington,-37.8402,145.0029,Southern Metropolitan,14887
101,Southbank,716/22 Dorcas St,1,u,385500,S,LITTLE,4/03/2017,1.2,3006,1,1,1.0,1826.0,34.79723765432098,2010.0,Melbourne,-37.8301,144.9697,Southern Metropolitan,8400
102,Southbank,75/285 City Rd,1,u,370000,VB,Dingle,30/07/2016,1.2,3006,1,1,1.0,546.0,51.0,2000.0,Melbourne,-37.8274,144.9587,Southern Metropolitan,8400
103,St Kilda,32/10 Acland St,1,u,380000,S,Whiting,4/06/2016,6.1,3182,1,1,1.0,2879.0,49.0,1967.0,Port Phillip,-37.863,144.9747,Southern Metropolitan,13240
104,St Kilda,5/72 Barkly St,1,u,395000,SP,Buxton,10/09/2016,6.1,3182,1,1,1.0,1286.0,34.79723765432098,1975.0,Port Phillip,-37.8621,144.9823,Southern Metropolitan,13240
105,St Kilda,21/127 Grey St,1,u,330000,SA,hockingstuart,15/10/2016,6.1,3182,1,1,1.0,653.0,34.79723765432098,,Port Phillip,-37.8642,144.9814,Southern Metropolitan,13240
106,St Kilda,1/155 Fitzroy St,1,u,360000,S,Gary,22/08/2016,6.1,3182,1,1,1.0,400.0,34.79723765432098,,Port Phillip,-37.859,144.9792,Southern Metropolitan,13240
107,St Kilda,1/45 Robe St,2,u,400000,VB,McGrath,27/06/2016,6.1,3182,2,1,1.0,797.0,67.0,1970.0,Port Phillip,-37.8642,144.9793,Southern Metropolitan,13240
108,St Kilda,26/11 Marine Pde,1,u,354000,S,McGrath,30/07/2016,6.1,3182,1,1,1.0,1659.0,46.0,1960.0,Port Phillip,-37.8699,144.9764,Southern Metropolitan,13240
109,Sunshine,1/136 Wright St,2,u,260000,PI,Douglas,3/09/2016,12.6,3020,2,1,1.0,79.0,34.79723765432098,,Brimbank,-37.7952,144.8262,Western Metropolitan,3755
110,Sunshine West,3/14 Smart St,2,u,350000,S,Bells,24/09/2016,13.5,3020,2,1,1.0,235.0,80.0,1990.0,Brimbank,-37.7847,144.8146,Western Metropolitan,6763
111,Sunshine West,1/40 Warmington Rd,3,h,305000,SP,Jellis,27/06/2016,13.5,3020,3,1,2.0,367.0,114.0,1970.0,Brimbank,-37.8018,144.8246,Western Metropolitan,6763
112,Thornbury,1/219 Raleigh St,1,u,332000,SP,Harcourts,14/05/2016,6.5,3071,1,1,1.0,612.0,48.0,1975.0,Darebin,-37.7603,145.0165,Northern Metropolitan,8870
113,Windsor,7/23 The Avenue,1,u,300000,VB,Beller,19/11/2016,5.1,3181,1,1,1.0,705.0,34.79723765432098,,Stonnington,-37.8556,144.9977,Southern Metropolitan,4380
114,Windsor,6/23 The Avenue,1,u,400000,VB,hockingstuart,22/05/2016,5.1,3181,1,1,1.0,706.0,34.79723765432098,,Port Phillip,-37.8556,144.9977,Southern Metropolitan,4380
115,Aberfeldie,2/7 Fawkner St,2,u,380000,VB,Brad,18/03/2017,9.1,3040,2,1,1.0,622.0,34.79723765432098,1970.0,Moonee Valley,-37.7557,144.8966,Western Metropolitan,1543
116,Campbellfield,11 Bailey Ct,3,h,368000,SP,Iconek,3/12/2016,14.5,3061,3,1,2.0,600.0,34.79723765432098,,Hume,-37.6783,144.9672,Northern Metropolitan,1889
117,Fawkner,1/71 Lynch Rd,2,u,333000,SP,hockingstuart,4/03/2017,12.4,3060,2,1,1.0,97.0,79.0,1970.0,Moreland,-37.7118,144.9689,Northern Metropolitan,5070
118,Fawkner,1b McDougall St,2,h,378000,S,Re,4/06/2016,12.4,3060,2,1,1.0,215.0,100.0,1990.0,Moreland,-37.7049,144.9638,Northern Metropolitan,5070
119,Fawkner,2/79 Queens Pde,1,u,288000,S,Brad,15/10/2016,12.4,3060,1,1,1.0,69.0,34.79723765432098,1960.0,Moreland,-37.7192,144.9654,Northern Metropolitan,5070
120,Fawkner,1/11 Brockley Rd,3,h,400000,S,Raine,22/05/2016,12.4,3060,3,1,1.0,285.0,34.79723765432098,,Moreland,-37.7161,144.9662,Northern Metropolitan,5070
121,Hawthorn East,13/84 Campbell Rd,1,u,365000,SP,Jellis,12/11/2016,7.5,3123,1,1,0.0,2274.0,34.79723765432098,,Boroondara,-37.8339,145.055,Southern Metropolitan,6482
122,Hawthorn East,5/80 Campbell Rd,1,u,371000,PI,O'Donoghues,28/05/2016,7.5,3123,1,1,0.0,917.0,44.0,1970.0,Boroondara,-37.8338,145.0545,Southern Metropolitan,6482
123,Jacana,147 Sunset Bvd,3,h,350000,PI,Barry,7/05/2016,14.5,3047,3,1,2.0,600.0,110.0,1950.0,Hume,-37.6866,144.9086,Northern Metropolitan,851
124,Jacana,11/1051 Pascoe Vale Rd,2,u,280000,PI,Raine,16/04/2016,14.5,3047,2,1,1.0,197.0,34.79723765432098,,Hume,-37.6859,144.9164,Northern Metropolitan,851
125,Kingsbury,4/1 Oconnell St,2,u,380000,S,Barry,25/02/2017,12.4,3083,2,1,1.0,128.0,34.79723765432098,1970.0,Darebin,-37.715,145.043,Northern Metropolitan,1414
126,West Footscray,2/10 Hatfield Ct,2,h,360000,S,Sweeney,8/10/2016,8.2,3012,2,1,1.0,92.0,34.79723765432098,1970.0,Maribyrnong,-37.8095,144.869,Western Metropolitan,5058
127,West Footscray,51 Roberts St,2,h,326500,S,Sweeney,25/02/2017,8.2,3012,2,1,2.0,626.0,34.79723765432098,,Maribyrnong,-37.8067,144.8707,Western Metropolitan,5058
128,West Footscray,6/16 Warleigh Rd,1,u,288000,SP,Sweeney,25/02/2017,8.2,3012,1,1,1.0,628.0,44.0,1970.0,Maribyrnong,-37.7993,144.8794,Western Metropolitan,5058
129,Albion,3/14 Ridley St,2,t,300000,PI,FN,11/02/2017,13.9,3020,2,1,1.0,74.0,34.79723765432098,1970.0,Brimbank,-37.7836,144.8256,Western Metropolitan,2185
130,Ripponlea,7/1 Hotham Gr,1,u,327000,S,Woodards,18/06/2016,7.4,3185,1,1,1.0,486.0,34.79723765432098,,Port Phillip,-37.8797,144.9954,Southern Metropolitan,821
131,South Kingsville,2/77 Vernon St,2,h,392250,SP,Gunn&Co,24/09/2016,9.1,3015,2,1,2.0,462.0,34.79723765432098,1970.0,Hobsons Bay,-37.8331,144.8715,Western Metropolitan,984
132,South Kingsville,2/108 Blackshaws Rd,2,u,380000,VB,Oak,28/08/2016,9.1,3015,2,1,1.0,78.0,62.0,1960.0,Hobsons Bay,-37.8337,144.8739,Western Metropolitan,984
133,Keilor Park,5/8 Swan St,2,t,380000,S,Nelson,10/09/2016,14.5,3042,2,1,1.0,161.0,100.0,2010.0,Brimbank,-37.7251,144.8621,Western Metropolitan,1119
134,Alphington,10/90 Yarralea St,1,u,320000,S,Miles,6/05/2017,6.4,3078,1,1,1.0,915.0,34.79723765432098,,Darebin,-37.7793,145.0327,Northern Metropolitan,2211
135,Brunswick,2/15 De Carle St,2,u,320000,S,Ray,8/04/2017,5.2,3056,2,1,1.0,638.0,48.0,1970.0,Moreland,-37.762,144.9647,Northern Metropolitan,11918
136,Brunswick,8/93 Tinning St,1,u,315000,S,Jellis,8/04/2017,5.2,3056,1,1,1.0,1403.0,34.79723765432098,,Moreland,-37.7591,144.9577,Northern Metropolitan,11918
137,Caulfield North,8/54 Narong Rd,1,u,305000,SP,Gary,8/04/2017,8.1,3161,1,1,1.0,750.0,43.0,1965.0,Glen Eira,-37.8678,145.0197,Southern Metropolitan,6923
